"control","level","title","subscription","resource","status","details"
"9.3.4","1","Ensure 'Secure Transfer Required' Is Enabled for Storage Accounts","Staging","stdevbackup01","ERROR","Account 'stdevbackup01': Access denied or query error."
"9.3.4","1","Ensure 'Secure Transfer Required' Is Enabled for Storage Accounts","Development","stproddata01","PASS","Account 'stproddata01': Compliant."
"9.3.4","1","Ensure 'Secure Transfer Required' Is Enabled for Storage Accounts","Development","stprodlogs02","PASS","Account 'stprodlogs02': Compliant."
"9.3.4","1","Ensure 'Secure Transfer Required' Is Enabled for Storage Accounts","Development","ststagapp01","FAIL","Account 'ststagapp01': Non-compliant. Setting needs to be enabled."
"9.3.4","1","Ensure 'Secure Transfer Required' Is Enabled for Storage Accounts","Development","stdevdata01","PASS","Account 'stdevdata01': Compliant."
"9.3.4","1","Ensure 'Secure Transfer Required' Is Enabled for Storage Accounts","Development","stdevbackup01","PASS","Account 'stdevbackup01': Compliant."
"9.3.5","2","Ensure That 'Allow Azure Services on the Trusted Services List to Access This Storage Account' Is Enabled","Production","stproddata01","PASS","Account 'stproddata01': Compliant."
"9.3.5","2","Ensure That 'Allow Azure Services on the Trusted Services List to Access This Storage Account' Is Enabled","Production","stprodlogs02","INFO","Account 'stprodlogs02': ADLS Gen2 — control does not apply."
"9.3.5","2","Ensure That 'Allow Azure Services on the Trusted Services List to Access This Storage Account' Is Enabled","Production","ststagapp01","PASS","Account 'ststagapp01': Compliant."
"9.3.5","2","Ensure That 'Allow Azure Services on the Trusted Services List to Access This Storage Account' Is Enabled","Production","stdevdata01","PASS","Account 'stdevdata01': Compliant."
"9.3.5","2","Ensure That 'Allow Azure Services on the Trusted Services List to Access This Storage Account' Is Enabled","Production","stdevbackup01","PASS","Account 'stdevbackup01': Compliant."
"9.3.5","2","Ensure That 'Allow Azure Services on the Trusted Services List to Access This Storage Account' Is Enabled","Staging","stproddata01","PASS","Account 'stproddata01': Compliant."
"9.3.5","2","Ensure That 'Allow Azure Services on the Trusted Services List to Access This Storage Account' Is Enabled","Staging","stprodlogs02","PASS","Account 'stprodlogs02': Compliant."
"9.3.5","2","Ensure That 'Allow Azure Services on the Trusted Services List to Access This Storage Account' Is Enabled","Staging","ststagapp01","PASS","Account 'ststagapp01': Compliant."
"9.3.5","2","Ensure That 'Allow Azure Services on the Trusted Services List to Access This Storage Account' Is Enabled","Staging","stdevdata01","FAIL","Account 'stdevdata01': Non-compliant. Setting needs to be enabled."
"9.3.5","2","Ensure That 'Allow Azure Services on the Trusted Services List to Access This Storage Account' Is Enabled","Staging","stdevbackup01","FAIL","Account 'stdevbackup01': Non-compliant. Setting needs to be enabled."
"9.3.5","2","Ensure That 'Allow Azure Services on the Trusted Services List to Access This Storage Account' Is Enabled","Development","stproddata01","PASS","Account 'stproddata01': Compliant."
"9.3.5","2","Ensure That 'Allow Azure Services on the Trusted Services List to Access This Storage Account' Is Enabled","Development","stprodlogs02","PASS","Account 'stprodlogs02': Compliant."
"9.3.5","2","Ensure That 'Allow Azure Services on the Trusted Services List to Access This Storage Account' Is Enabled","Development","ststagapp01","PASS","Account 'ststagapp01': Compliant."
"9.3.5","2","Ensure That 'Allow Azure Services on the Trusted Services List to Access This Storage Account' Is Enabled","Development","stdevdata01","FAIL","Account 'stdevdata01': Non-compliant. Setting needs to be enabled."
"9.3.5","2","Ensure That 'Allow Azure Services on the Trusted Services List to Access This Storage Account' Is Enabled","Development","stdevbackup01","PASS","Account 'stdevbackup01': Compliant."
"9.3.6","1","Ensure That Storage Account Has the Minimum TLS Version of 'Version 1.2'","Production","stproddata01","ERROR","Account 'stproddata01': Access denied or query error."
"9.3.6","1","Ensure That Storage Account Has the Minimum TLS Version of 'Version 1.2'","Production","stprodlogs02","PASS","Account 'stprodlogs02': Compliant."
"9.3.6","1","Ensure That Storage Account Has the Minimum TLS Version of 'Version 1.2'","Production","ststagapp01","PASS","Account 'ststagapp01': Compliant."
"9.3.6","1","Ensure That Storage Account Has the Minimum TLS Version of 'Version 1.2'","Production","stdevdata01","PASS","Account 'stdevdata01': Compliant."
"9.3.6","1","Ensure That Storage Account Has the Minimum TLS Version of 'Version 1.2'","Production","stdevbackup01","PASS","Account 'stdevbackup01': Compliant."
"9.3.6","1","Ensure That Storage Account Has the Minimum TLS Version of 'Version 1.2'","Staging","stproddata01","PASS","Account 'stproddata01': Compliant."
"9.3.6","1","Ensure That Storage Account Has the Minimum TLS Version of 'Version 1.2'","Staging","stprodlogs02","PASS","Account 'stprodlogs02': Compliant."
"9.3.6","1","Ensure That Storage Account Has the Minimum TLS Version of 'Version 1.2'","Staging","ststagapp01","INFO","Account 'ststagapp01': ADLS Gen2 — control does not apply."
"9.3.6","1","Ensure That Storage Account Has the Minimum TLS Version of 'Version 1.2'","Staging","stdevdata01","INFO","Account 'stdevdata01': ADLS Gen2 — control does not apply."
"9.3.6","1","Ensure That Storage Account Has the Minimum TLS Version of 'Version 1.2'","Staging","stdevbackup01","PASS","Account 'stdevbackup01': Compliant."
"9.3.6","1","Ensure That Storage Account Has the Minimum TLS Version of 'Version 1.2'","Development","stproddata01","FAIL","Account 'stproddata01': Non-compliant. Setting needs to be enabled."
"9.3.6","1","Ensure That Storage Account Has the Minimum TLS Version of 'Version 1.2'","Development","stprodlogs02","PASS","Account 'stprodlogs02': Compliant."
"9.3.6","1","Ensure That Storage Account Has the Minimum TLS Version of 'Version 1.2'","Development","ststagapp01","FAIL","Account 'ststagapp01': Non-compliant. Setting needs to be enabled."
"9.3.6","1","Ensure That Storage Account Has the Minimum TLS Version of 'Version 1.2'","Development","stdevdata01","PASS","Account 'stdevdata01': Compliant."
"9.3.6","1","Ensure That Storage Account Has the Minimum TLS Version of 'Version 1.2'","Development","stdevbackup01","PASS","Account 'stdevbackup01': Compliant."
"9.3.7","1","Ensure That 'Cross Tenant Replication' Is Not Enabled for Storage Accounts","Production","stproddata01","PASS","Account 'stproddata01': Compliant."
"9.3.7","1","Ensure That 'Cross Tenant Replication' Is Not Enabled for Storage Accounts","Production","stprodlogs02","PASS","Account 'stprodlogs02': Compliant."
"9.3.7","1","Ensure That 'Cross Tenant Replication' Is Not Enabled for Storage Accounts","Production","ststagapp01","PASS","Account 'ststagapp01': Compliant."
"9.3.7","1","Ensure That 'Cross Tenant Replication' Is Not Enabled for Storage Accounts","Production","stdevdata01","FAIL","Account 'stdevdata01': Non-compliant. Setting needs to be enabled."
"9.3.7","1","Ensure That 'Cross Tenant Replication' Is Not Enabled for Storage Accounts","Production","stdevbackup01","PASS","Account 'stdevbackup01': Compliant."
"9.3.7","1","Ensure That 'Cross Tenant Replication' Is Not Enabled for Storage Accounts","Staging","stproddata01","FAIL","Account 'stproddata01': Non-compliant. Setting needs to be enabled."
"9.3.7","1","Ensure That 'Cross Tenant Replication' Is Not Enabled for Storage Accounts","Staging","stprodlogs02","FAIL","Account 'stprodlogs02': Non-compliant. Setting needs to be enabled."
"9.3.7","1","Ensure That 'Cross Tenant Replication' Is Not Enabled for Storage Accounts","Staging","ststagapp01","PASS","Account 'ststagapp01': Compliant."
"9.3.7","1","Ensure That 'Cross Tenant Replication' Is Not Enabled for Storage Accounts","Staging","stdevdata01","PASS","Account 'stdevdata01': Compliant."
"9.3.7","1","Ensure That 'Cross Tenant Replication' Is Not Enabled for Storage Accounts","Staging","stdevbackup01","FAIL","Account 'stdevbackup01': Non-compliant. Setting needs to be enabled."
"9.3.7","1","Ensure That 'Cross Tenant Replication' Is Not Enabled for Storage Accounts","Development","stproddata01","PASS","Account 'stproddata01': Compliant."
"9.3.7","1","Ensure That 'Cross Tenant Replication' Is Not Enabled for Storage Accounts","Development","stprodlogs02","ERROR","Account 'stprodlogs02': Access denied or query error."
"9.3.7","1","Ensure That 'Cross Tenant Replication' Is Not Enabled for Storage Accounts","Development","ststagapp01","PASS","Account 'ststagapp01': Compliant."
"9.3.7","1","Ensure That 'Cross Tenant Replication' Is Not Enabled for Storage Accounts","Development","stdevdata01","PASS","Account 'stdevdata01': Compliant."
"9.3.7","1","Ensure That 'Cross Tenant Replication' Is Not Enabled for Storage Accounts","Development","stdevbackup01","PASS","Account 'stdevbackup01': Compliant."
"9.3.8","1","Ensure That 'Public Access Level' Is Disabled for Storage Accounts With Blob Containers","Production","stproddata01","FAIL","Account 'stproddata01': Non-compliant. Setting needs to be enabled."
"9.3.8","1","Ensure That 'Public Access Level' Is Disabled for Storage Accounts With Blob Containers","Production","stprodlogs02","PASS","Account 'stprodlogs02': Compliant."
"9.3.8","1","Ensure That 'Public Access Level' Is Disabled for Storage Accounts With Blob Containers","Production","ststagapp01","PASS","Account 'ststagapp01': Compliant."
"9.3.8","1","Ensure That 'Public Access Level' Is Disabled for Storage Accounts With Blob Containers","Production","stdevdata01","FAIL","Account 'stdevdata01': Non-compliant. Setting needs to be enabled."
"9.3.8","1","Ensure That 'Public Access Level' Is Disabled for Storage Accounts With Blob Containers","Production","stdevbackup01","INFO","Account 'stdevbackup01': ADLS Gen2 — control does not apply."
"9.3.8","1","Ensure That 'Public Access Level' Is Disabled for Storage Accounts With Blob Containers","Staging","stproddata01","PASS","Account 'stproddata01': Compliant."
"9.3.8","1","Ensure That 'Public Access Level' Is Disabled for Storage Accounts With Blob Containers","Staging","stprodlogs02","PASS","Account 'stprodlogs02': Compliant."
"9.3.8","1","Ensure That 'Public Access Level' Is Disabled for Storage Accounts With Blob Containers","Staging","ststagapp01","PASS","Account 'ststagapp01': Compliant."
"9.3.8","1","Ensure That 'Public Access Level' Is Disabled for Storage Accounts With Blob Containers","Staging","stdevdata01","PASS","Account 'stdevdata01': Compliant."
"9.3.8","1","Ensure That 'Public Access Level' Is Disabled for Storage Accounts With Blob Containers","Staging","stdevbackup01","FAIL","Account 'stdevbackup01': Non-compliant. Setting needs to be enabled."
"9.3.8","1","Ensure That 'Public Access Level' Is Disabled for Storage Accounts With Blob Containers","Development","stproddata01","FAIL","Account 'stproddata01': Non-compliant. Setting needs to be enabled."
"9.3.8","1","Ensure That 'Public Access Level' Is Disabled for Storage Accounts With Blob Containers","Development","stprodlogs02","PASS","Account 'stprodlogs02': Compliant."
"9.3.8","1","Ensure That 'Public Access Level' Is Disabled for Storage Accounts With Blob Containers","Development","ststagapp01","PASS","Account 'ststagapp01': Compliant."
"9.3.8","1","Ensure That 'Public Access Level' Is Disabled for Storage Accounts With Blob Containers","Development","stdevdata01","INFO","Account 'stdevdata01': ADLS Gen2 — control does not apply."
"9.3.8","1","Ensure That 'Public Access Level' Is Disabled for Storage Accounts With Blob Containers","Development","stdevbackup01","FAIL","Account 'stdevbackup01': Non-compliant. Setting needs to be enabled."
"9.3.9","1","Ensure That Storage Accounts Have a CanNotDelete Resource Lock","Production","stproddata01","FAIL","Account 'stproddata01': Non-compliant. Setting needs to be enabled."
"9.3.9","1","Ensure That Storage Accounts Have a CanNotDelete Resource Lock","Production","stprodlogs02","PASS","Account 'stprodlogs02': Compliant."
"9.3.9","1","Ensure That Storage Accounts Have a CanNotDelete Resource Lock","Production","ststagapp01","PASS","Account 'ststagapp01': Compliant."
"9.3.9","1","Ensure That Storage Accounts Have a CanNotDelete Resource Lock","Production","stdevdata01","PASS","Account 'stdevdata01': Compliant."
"9.3.9","1","Ensure That Storage Accounts Have a CanNotDelete Resource Lock","Production","stdevbackup01","PASS","Account 'stdevbackup01': Compliant."
"9.3.9","1","Ensure That Storage Accounts Have a CanNotDelete Resource Lock","Staging","stproddata01","PASS","Account 'stproddata01': Compliant."
"9.3.9","1","Ensure That Storage Accounts Have a CanNotDelete Resource Lock","Staging","stprodlogs02","INFO","Account 'stprodlogs02': ADLS Gen2 — control does not apply."
"9.3.9","1","Ensure That Storage Accounts Have a CanNotDelete Resource Lock","Staging","ststagapp01","PASS","Account 'ststagapp01': Compliant."
"9.3.9","1","Ensure That Storage Accounts Have a CanNotDelete Resource Lock","Staging","stdevdata01","PASS","Account 'stdevdata01': Compliant."
"9.3.9","1","Ensure That Storage Accounts Have a CanNotDelete Resource Lock","Staging","stdevbackup01","PASS","Account 'stdevbackup01': Compliant."
"9.3.9","1","Ensure That Storage Accounts Have a CanNotDelete Resource Lock","Development","stproddata01","PASS","Account 'stproddata01': Compliant."
"9.3.9","1","Ensure That Storage Accounts Have a CanNotDelete Resource Lock","Development","stprodlogs02","PASS","Account 'stprodlogs02': Compliant."
"9.3.9","1","Ensure That Storage Accounts Have a CanNotDelete Resource Lock","Development","ststagapp01","ERROR","Account 'ststagapp01': Access denied or query error."
"9.3.9","1","Ensure That Storage Accounts Have a CanNotDelete Resource Lock","Development","stdevdata01","PASS","Account 'stdevdata01': Compliant."
"9.3.9","1","Ensure That Storage Accounts Have a CanNotDelete Resource Lock","Development","stdevbackup01","PASS","Account 'stdevbackup01': Compliant."
"9.3.10","2","Ensure That Storage Accounts Have a ReadOnly Resource Lock","Production","stproddata01","PASS","Account 'stproddata01': Compliant."
"9.3.10","2","Ensure That Storage Accounts Have a ReadOnly Resource Lock","Production","stprodlogs02","INFO","Account 'stprodlogs02': ADLS Gen2 — control does not apply."
"9.3.10","2","Ensure That Storage Accounts Have a ReadOnly Resource Lock","Production","ststagapp01","FAIL","Account 'ststagapp01': Non-compliant. Setting needs to be enabled."
"9.3.10","2","Ensure That Storage Accounts Have a ReadOnly Resource Lock","Production","stdevdata01","PASS","Account 'stdevdata01': Compliant."
"9.3.10","2","Ensure That Storage Accounts Have a ReadOnly Resource Lock","Production","stdevbackup01","PASS","Account 'stdevbackup01': Compliant."
"9.3.10","2","Ensure That Storage Accounts Have a ReadOnly Resource Lock","Staging","stproddata01","PASS","Account 'stproddata01': Compliant."
"9.3.10","2","Ensure That Storage Accounts Have a ReadOnly Resource Lock","Staging","stprodlogs02","PASS","Account 'stprodlogs02': Compliant."
"9.3.10","2","Ensure That Storage Accounts Have a ReadOnly Resource Lock","Staging","ststagapp01","PASS","Account 'ststagapp01': Compliant."
"9.3.10","2","Ensure That Storage Accounts Have a ReadOnly Resource Lock","Staging","stdevdata01","PASS","Account 'stdevdata01': Compliant."
"9.3.10","2","Ensure That Storage Accounts Have a ReadOnly Resource Lock","Staging","stdevbackup01","ERROR","Account 'stdevbackup01': Access denied or query error."
"9.3.10","2","Ensure That Storage Accounts Have a ReadOnly Resource Lock","Development","stproddata01","FAIL","Account 'stproddata01': Non-compliant. Setting needs to be enabled."
"9.3.10","2","Ensure That Storage Accounts Have a ReadOnly Resource Lock","Development","stprodlogs02","ERROR","Account 'stprodlogs02': Access denied or query error."
"9.3.10","2","Ensure That Storage Accounts Have a ReadOnly Resource Lock","Development","ststagapp01","INFO","Account 'ststagapp01': ADLS Gen2 — control does not apply."
"9.3.10","2","Ensure That Storage Accounts Have a ReadOnly Resource Lock","Development","stdevdata01","MANUAL","Account 'stdevdata01': Not applicable."
"9.3.10","2","Ensure That Storage Accounts Have a ReadOnly Resource Lock","Development","stdevbackup01","FAIL","Account 'stdevbackup01': Non-compliant. Setting needs to be enabled."
"9.3.11","2","Ensure That Storage Account Replication Type Is Set to Geo-Redundant Storage","Production","stproddata01","FAIL","Account 'stproddata01': Non-compliant. Setting needs to be enabled."
"9.3.11","2","Ensure That Storage Account Replication Type Is Set to Geo-Redundant Storage","Production","stprodlogs02","PASS","Account 'stprodlogs02': Compliant."
"9.3.11","2","Ensure That Storage Account Replication Type Is Set to Geo-Redundant Storage","Production","ststagapp01","PASS","Account 'ststagapp01': Compliant."
"9.3.11","2","Ensure That Storage Account Replication Type Is Set to Geo-Redundant Storage","Production","stdevdata01","PASS","Account 'stdevdata01': Compliant."
"9.3.11","2","Ensure That Storage Account Replication Type Is Set to Geo-Redundant Storage","Production","stdevbackup01","PASS","Account 'stdevbackup01': Compliant."
"9.3.11","2","Ensure That Storage Account Replication Type Is Set to Geo-Redundant Storage","Staging","stproddata01","FAIL","Account 'stproddata01': Non-compliant. Setting needs to be enabled."
"9.3.11","2","Ensure That Storage Account Replication Type Is Set to Geo-Redundant Storage","Staging","stprodlogs02","FAIL","Account 'stprodlogs02': Non-compliant. Setting needs to be enabled."
"9.3.11","2","Ensure That Storage Account Replication Type Is Set to Geo-Redundant Storage","Staging","ststagapp01","ERROR","Account 'ststagapp01': Access denied or query error."
"9.3.11","2","Ensure That Storage Account Replication Type Is Set to Geo-Redundant Storage","Staging","stdevdata01","FAIL","Account 'stdevdata01': Non-compliant. Setting needs to be enabled."
"9.3.11","2","Ensure That Storage Account Replication Type Is Set to Geo-Redundant Storage","Staging","stdevbackup01","INFO","Account 'stdevbackup01': ADLS Gen2 — control does not apply."
"9.3.11","2","Ensure That Storage Account Replication Type Is Set to Geo-Redundant Storage","Development","stproddata01","FAIL","Account 'stproddata01': Non-compliant. Setting needs to be enabled."
"9.3.11","2","Ensure That Storage Account Replication Type Is Set to Geo-Redundant Storage","Development","stprodlogs02","PASS","Account 'stprodlogs02': Compliant."
"9.3.11","2","Ensure That Storage Account Replication Type Is Set to Geo-Redundant Storage","Development","ststagapp01","FAIL","Account 'ststagapp01': Non-compliant. Setting needs to be enabled."
"9.3.11","2","Ensure That Storage Account Replication Type Is Set to Geo-Redundant Storage","Development","stdevdata01","PASS","Account 'stdevdata01': Compliant."
"9.3.11","2","Ensure That Storage Account Replication Type Is Set to Geo-Redundant Storage","Development","stdevbackup01","FAIL","Account 'stdevbackup01': Non-compliant. Setting needs to be enabled."
